well_id,descricao,de_m,para_m
PW_115,Fm Serra Geral,0.0,33.3746337890625
PW_115,Fm Botucatu,33.3746337890625,147.084075927734
PW_115,Fm Guará Sup,147.084075927734,177.223815917969
PW_115,Fm Guará Inf,177.223815917969,221.011810302734
PW_115,Fm Piramboia Sup,221.011810302734,245.0
PW_116,Fm Serra Geral,0.0,78.3958129882812
PW_116,Fm Botucatu,78.3958129882812,166.301910400391
PW_116,Fm Guará Sup,166.301910400391,190.756011962891
PW_116,Fm Guará Inf,190.756011962891,195.0
PW_117,Fm Serra Geral,0.0,81.4937438964844
PW_117,Fm Botucatu,81.4937438964844,129.325561523438
PW_117,Fm Guará Sup,129.325561523438,163.713592529297
PW_117,Fm Guará Inf,163.713592529297,199.274230957031
PW_117,Fm Piramboia Sup,199.274230957031,236.0
PW_118,Fm Serra Geral,0.0,15.1991577148438
PW_118,Fm Botucatu,15.1991577148438,198.526306152344
PW_118,Fm Piramboia Inf,198.526306152344,204.0
PW_119,Fm Serra Geral,0.0,28.0627746582031
PW_119,Fm Botucatu,28.0627746582031,144.938659667969
PW_119,Fm Guará Sup,144.938659667969,151.030639648438
PW_119,Fm Guará Inf,151.030639648438,192.648803710938
PW_119,Fm Piramboia Sup,192.648803710938,208.0
PW_120,Fm Serra Geral,0.0,51.7084045410156
PW_120,Fm Botucatu,51.7084045410156,172.284637451172
PW_120,Fm Guará Sup,172.284637451172,177.7
PW_121,Fm Serra Geral,0.0,133.270538330078
PW_121,Fm Botucatu,133.270538330078,168.204193115234
PW_121,Fm Guará Sup,168.204193115234,196.215606689453
PW_121,Fm Guará Inf,196.215606689453,224.887756347656
PW_121,Fm Piramboia Sup,224.887756347656,250.0
PW_122,Fm Serra Geral,0.0,64.207763671875
PW_122,Fm Botucatu,64.207763671875,170.579986572266
PW_122,Fm Guará Sup,170.579986572266,193.899078369141
PW_122,Fm Guará Inf,193.899078369141,221.57
PW_123,Fm Serra Geral,0.0,46.9899291992188
PW_123,Fm Botucatu,46.9899291992188,153.963714599609
PW_123,Fm Guará Sup,153.963714599609,174.242431640625
PW_123,Fm Guará Inf,174.242431640625,208.025665283203
PW_123,Fm Piramboia Sup,208.025665283203,222.5
PW_131,Fm Serra Geral,0.0,67.2388305664062
PW_131,Fm Botucatu,67.2388305664062,128.021789550781
PW_131,Fm Guará Sup,128.021789550781,160.2412109375
PW_131,Fm Guará Inf,160.2412109375,196.423522949219
PW_131,Fm Piramboia Sup,196.423522949219,245.0
PW_132,Fm Serra Geral,0.0,162.117370605469
PW_132,Fm Botucatu,162.117370605469,192.079925537109
PW_132,Fm Guará Sup,192.079925537109,205.07666015625
PW_132,Fm Guará Inf,205.07666015625,237.277038574219
PW_132,Fm Piramboia Sup,237.277038574219,284.0
PW_133,Fm Serra Geral,0.0,82.2967834472656
PW_133,Fm Botucatu,82.2967834472656,164.097045898438
PW_133,Fm Guará Sup,164.097045898438,180.995483398438
PW_133,Fm Guará Inf,180.995483398438,209.454132080078
PW_133,Fm Piramboia Sup,209.454132080078,250.687957763672
PW_133,Fm Piramboia Inf,250.687957763672,265.76
PW_001,Fm Serra Geral,0.0,17.4073486328125
PW_001,Fm Botucatu,17.4073486328125,194.323883056641
PW_001,Fm Piramboia Sup,194.323883056641,200.0
PW_002,Fm Botucatu,0.0,83.58544921875
PW_002,Fm Guará Sup,83.58544921875,94.33349609375
PW_002,Fm Guará Inf,94.33349609375,136.802307128906
PW_002,Fm Piramboia Sup,136.802307128906,179.0
PW_003,Fm Serra Geral,0.0,168.703491210938
PW_003,Fm Botucatu,168.703491210938,267.097442626953
PW_003,Fm Guará Sup,267.097442626953,297.71142578125
PW_003,Fm Guará Inf,297.71142578125,325.710601806641
